"city";"country";"nbArtists"
"riom";"france";"1"
"northampton";"norway";"1"
"italy";"italy";"1"
"fernie";"canada";"1"
"windsor";"united states";"1"
"paris";"united kingdom";"1"
"issy-les-moulineaux";"france";"1"
"forlì";"italy";"1"
"bellingham";"united states";"1"
"monroeville";"united states";"1"
"cedar grove";"united states";"1"
"detroit";"canada";"1"
"bishopbriggs";"united kingdom";"1"
"hasselt";"belgium";"1"
"sanandaj";"germany";"1"
"grand haven";"los angeles";"1"
"ada";"united states";"1"
"hattiesburg";"united states";"1"
"hartwell";"united states";"1"
"brenham";"united states";"1"
"thomson";"united states";"1"
"cochran";"united states";"1"
"bolton";"united states";"1"
"cairo";"egypt";"1"
"duluth";"united states";"1"
"dún laoghaire";"ireland";"1"
"malone";"united states";"1"
"barretville";"united states";"1"
"canonsburg";"united states";"1"
"tel aviv";"israel";"1"
"bexley";"united kingdom";"1"
"antwerp";"netherlands";"1"
"ravensdale";"united states";"1"
"van nuys";"united states";"1"
"breaux bridge";"united states";"1"
"whitechapel";"ireland";"1"
"oakdale";"united states";"1"
"woodbridge";"united kingdom";"1"
"paramaribo";"netherlands";"1"
"long branch";"united states";"1"
"kingston";"canada";"1"
"washington";"united kingdom";"1"
"lettsworth";"united states";"1"
"durham";"united states";"1"
"brunswick";"united states";"1"
"rome";"united states";"1"
"mount clemens";"united states";"1"
"reykjavík";"iceland";"1"
"tehran";"canada";"1"
"lymington";"united kingdom";"1"
"paris";"nigeria";"1"
"hugo";"united states";"1"
"rockville";"united states";"1"
"walnut grove";"united states";"1"
"jaworzno";"united states";"1"
"haarlem";"netherlands";"1"
"wembley";"united kingdom";"1"
"manhattan";"brazil";"1"
"madrid";"mexico";"1"
"pembroke pines";"united states";"1"
"pomona";"santa monica";"1"
"bremerton";"united states";"1"
"unna";"germany";"1"
"nordhorn";"germany";"1"
"buckingham";"united kingdom";"1"
"augsburg";"germany";"1"
"la crosse";"united states";"1"
"chattanooga";"united states";"1"
"savannah";"united states";"1"
"horn lake";"united states";"1"
"wakefield";"united kingdom";"1"
"cincinnati";"germany";"1"
"lewisham";"gedding";"1"
"elk grove village";"united states";"1"
"westerly";"united states";"1"
"stanmore";"united kingdom";"1"
"siparia";"united kingdom";"1"
"westmoreland";"jamaica";"1"
"tacoma";"united states";"1"
"florence";"italy";"1"
"finchley";"united kingdom";"1"
"hong kong";"united kingdom";"1"
"forest hill";"united states";"1"
"hämeenlinna";"finland";"1"
"wallington";"united kingdom";"1"
"las vegas";"united states";"1"
"warren";"united states";"1"
"ferriday";"united states";"1"
"salisbury";"united states";"1"
"jonesboro";"united states";"1"
"flushing";"united states";"1"
"ardsley";"united states";"1"
"vicenza";"united states";"1"
"port credit";"vancouver";"1"
"shaker heights";"united states";"1"
"virginia";"united states";"1"
"timbo";"united states";"1"
"camas";"united states";"1"
"pascagoula";"united states";"1"
"adelphi";"jamaica";"1"
"plainview";"united states";"1"
"shenandoah";"united states";"1"
"camerino";"italy";"1"
"heston";"united kingdom";"1"
"ruleville";"united states";"1"
"elk city";"united states";"1"
"gurdon";"united states";"1"
"coalinga";"united states";"1"
"bad homburg vor der höhe";"germany";"1"
"brattleboro";"united states";"1"
"anchorage";"united states";"1"
"nevada city";"united states";"1"
"pauls valley";"united states";"1"
"camarillo";"united states";"1"
"utica";"united states";"1"
"mechanicsville";"united states";"1"
"the bronx";"staten island";"1"
"kauhajoki";"finland";"1"
"ponchatoula";"united states";"1"
"chapin";"united states";"1"
"jakarta";"indonesia";"1"
"kirbyville";"united states";"1"
"london";"turkey";"1"
"amherst";"united states";"1"
"blackville";"united states";"1"
"port gibson";"united states";"1"
"east dunbartonshire";"united kingdom";"1"
"zabrze";"germany";"1"
"heidelberg";"united states";"1"
"bedale";"united kingdom";"1"
"cologne";"france";"1"
"tulle";"france";"1"
"germany";"belgium";"1"
"stepney";"united kingdom";"1"
"igarapava";"brazil";"1"
"tidworth";"united kingdom";"1"
"barnwell";"united states";"1"
"tunica";"united states";"1"
"colchester";"united kingdom";"1"
"venlo";"united states";"1"
"rochford";"united kingdom";"1"
"west plains";"united states";"1"
"casablanca";"germany";"1"
"green hill";"united states";"1"
"lorain";"united states";"1"
"jaén";"spain";"1"
"crookes";"united kingdom";"1"
"gweedore";"ireland";"1"
"great neck";"united states";"1"
"st. louis";"france";"1"
"colorado";"united states";"1"
"joshua tree";"united states";"1"
"oshkosh";"united states";"1"
"best";"netherlands";"1"
"aveiro";"portugal";"1"
"rockenhausen";"germany";"1"
"wyandotte";"united states";"1"
"kotka";"finland";"1"
"juankoski";"finland";"1"
"lakehurst";"united states";"1"
"creston";"united states";"1"
"boonville";"united states";"1"
"wiscasset";"united states";"1"
"long beach";"mexico";"1"
"montpellier";"france";"1"
"london";"canada";"1"
"eau claire";"united states";"1"
"skanderborg";"denmark";"1"
"nauen";"germany";"1"
"new delhi";"india";"1"
"edmonton";"canada";"1"
"st andrews";"united kingdom";"1"
"fort-de-france";"martinique";"1"
"raymond";"united states";"1"
"enid";"united states";"1"
"oldham";"united kingdom";"1"
"berchtesgaden";"germany";"1"
"great bend";"united states";"1"
"colombia";"colombia";"1"
"blackheath";"united kingdom";"1"
"amarillo";"united states";"1"
"fargo";"united states";"1"
"burton upon trent";"united kingdom";"1"
"guthrie";"united states";"1"
"new brunswick";"united states";"1"
"lawrence";"united states";"1"
"westbury";"united states";"1"
"ankara";"united kingdom";"1"
"nuremberg";"germany";"1"
"eisenach";"germany";"1"
"west newbury";"united states";"1"
"roswell";"united states";"1"
"levittown";"united states";"1"
"coahoma county";"united states";"1"
"holloway";"united kingdom";"1"
"seymour";"united states";"1"
"jarrow";"united kingdom";"1"
"kings park";"united states";"1"
"chardon";"united states";"1"
"solihull";"united kingdom";"1"
"frimley";"united kingdom";"1"
"hastings";"united kingdom";"1"
"willington";"united kingdom";"1"
"kingsland";"united states";"1"
"lanark";"canada";"1"
"east elmhurst";"united states";"1"
"sayreville";"united states";"1"
"anderson";"united states";"1"
"illinois";"united states";"1"
"bakersfield";"united states";"1"
"fort macleod";"canada";"1"
"chernyakhovsk";"germany";"1"
"puerto rico";"puerto rico";"1"
"almelo";"netherlands";"1"
"biel/bienne";"switzerland";"1"
"grafenau";"germany";"1"
"stendal";"germany";"1"
"robertsfors";"sweden";"1"
"london";"germany";"1"
"eisenhüttenstadt";"germany";"1"
"marbach am neckar";"germany";"1"
"paraguay";"brazil";"1"
"seoul";"south korea";"1"
"pamiers";"france";"1"
"bergamo";"italy";"1"
"belfast";"united kingdom";"1"
"jenkins";"united states";"1"
"kilburn";"united kingdom";"1"
"tipton";"united states";"1"
"hartford";"united states";"1"
"norwalk";"united states";"1"
"osnabrück";"germany";"1"
"łódź";"united states";"1"
"kannapolis";"united states";"1"
"halle (saale)";"united kingdom";"1"
"spokane";"united states";"1"
"waverly";"united states";"1"
"sète";"france";"1"
"alkmaar";"netherlands";"1"
"sinsheim";"germany";"1"
"glückstadt";"germany";"1"
"weimar";"east germany";"1"
"paisley";"united kingdom";"1"
"siena";"italy";"1"
"schwelm";"germany";"1"
"tijuana";"united states";"1"
"sydney";"united states";"1"
"manama";"united kingdom";"1"
"bochum";"germany";"1"
"peebles";"australia";"1"
"walker";"united kingdom";"1"
"ripley";"united kingdom";"1"
"täby";"sweden";"1"
"chester";"united states";"1"
"leytonstone";"united kingdom";"1"
"broughton";"united kingdom";"1"
"corvallis";"united states";"1"
"genoa";"italy";"1"
"belém";"brazil";"1"
"orós";"brazil";"1"
"lissone";"italy";"1"
"bromley";"united kingdom";"1"
"leiden";"netherlands";"1"
"amherst";"canada";"1"
"london";"nigeria";"1"
"hacienda heights";"los angeles";"1"
"serra negra";"brazil";"1"
"breklum";"germany";"1"
"phillipsburg";"united states";"1"
"marianna";"united states";"1"
"pointe-à-pitre";"guadeloupe";"1"
"tripoli";"italy";"1"
"braunschweig";"germany";"1"
"kirn";"germany";"1"
"belleville";"united states";"1"
"leipzig";"east germany";"1"
"hoboken";"united states";"1"
"monghidoro";"italy";"1"
"verona";"italy";"1"
"wiesbaden";"germany";"1"
"wetzlar";"germany";"1"
"barataria";"united states";"1"
"brooklyn";"germany";"1"
"krasnoyarsk";"germany";"1"
"red hook";"united states";"1"
"moulins";"france";"1"
"st. stephen";"canada";"1"
"kenner";"united states";"1"
"peckham";"united kingdom";"1"
"big sandy";"united states";"1"
"farmersville";"united states";"1"
"utrecht";"netherlands";"1"
"heilbronn";"germany";"1"
"mautern in steiermark";"hamburg";"1"
"yokosuka";"japan";"1"
"the pas";"canada";"1"
"somerville";"united states";"1"
"dublin";"germany";"1"
"brewer";"united states";"1"
"duncan";"united states";"1"
"bad goisern";"austria";"1"
"ceará";"brazil";"1"
"ponce";"puerto rico";"1"
"dunfermline";"minety";"1"
"fair lawn";"united states";"1"
"warrington";"united kingdom";"1"
"oswestry";"united kingdom";"1"
"osterley";"united kingdom";"1"
"nottingham";"united kingdom";"1"
"antwerp";"belgium";"1"
"christchurch";"new zealand";"1"
"west virginia";"united states";"1"
"douglas";"canada";"1"
"opelika";"united states";"1"
"roanoke";"united states";"1"
"cannock";"united kingdom";"1"
"lihue";"united states";"1"
"battle creek";"united states";"1"
"verwood";"united kingdom";"1"
"orillia";"canada";"1"
"rocester";"united kingdom";"1"
"skegness";"united kingdom";"1"
"rinteln";"united kingdom";"1"
"salford";"united kingdom";"1"
"sabina";"united states";"1"
"bridgetown";"united states";"1"
"south st. paul";"united states";"1"
"fairfield";"united states";"1"
"charlottenburg";"germany";"1"
"peterborough";"canada";"1"
"bünde";"germany";"1"
"eisenberg";"germany";"1"
"lille";"france";"1"
"monahans";"united states";"1"
"istanbul";"turkey";"1"
"kendal";"united kingdom";"1"
"washington";"united states";"1"
"isola";"united states";"1"
"moers";"germany";"1"
"leipzig";"austria";"1"
"lunden";"germany";"1"
"wittenberg";"germany";"1"
"brejo do cruz";"brazil";"1"
